drug,uses
rosuvastatin + aspirin,Treatment of Prevention of heart attack and stroke
bicalutamide, Prostate cancer
halobetasol + salicylic acid, Eczema Psoriasis
benzydamine, Pain relief
fluvoxamine, Depression Obsessive-compulsive disorder
vitamin d,Treatment of Vitamin D deficiencyTreatment of Osteoporosis
magaldrate + simethicone, Acidity Stomach ulcers Bloating
tamsulosin + dutasteride,Treatment of Benign prostatic hyperplasia
magaldrate + simethicone, Acidity Stomach ulcers Bloating
clobetasol + salicylic acid + coal tar, Psoriasis
flavoxate,Treatment of Muscle spasms of the urinary tract
ambroxol + levosalbutamol + guaifenesin,Acute Sore throatTreatment of Cough with mucus
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
gefitinib, Non-small cell lung cancer
febuxostat,Treatment of Gout
halobetasol, Skin conditions with inflammation & itching
solifenacin,Treatment of Overactive bladder (OAB) symptoms
progesterone, Hormone replacement therapyTreatment of Female infertility
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
halobetasol + salicylic acid, Eczema Psoriasis
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
potassium citrate + magnesium citrate + vitamin b,Treatment and prevention of Kidney stone
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
magnesium citrate + potassium citrate, Kidney stone
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
tamsulosin,Treatment of Benign prostatic hyperplasia
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
montelukast + fexofenadine,Treatment of Sneezing and runny nose due to allergies
udenafil,Treatment of Erectile dysfunction
clomiphene + coenzyme q, Female infertility
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
clomiphene + coenzyme q, Female infertility
levocloperastine,Treatment of Dry cough
progesterone, Hormone replacement therapyTreatment of Female infertility
progesterone, Hormone replacement therapyTreatment of Female infertility
diosmin,Treatment of Varicose veinsTreatment of PilesTreatment of Lymphedema
uniflexin, Osteoarthritis
sildenafil,Treatment of Erectile dysfunction
progesterone, Hormone replacement therapyTreatment of Female infertility
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
clomiphene + coenzyme q, Female infertility
clomiphene + coenzyme q, Female infertility
progesterone, Hormone replacement therapyTreatment of Female infertility
fluconazole,Treatment of Fungal infections
domperidone + rabeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
flavoxate,Treatment of Muscle spasms of the urinary tract
progesterone, Hormone replacement therapyTreatment of Female infertility
aceclofenac + paracetamol + serratiopeptidase, Pain relief
betahistine,Treatment of Meniere's disease
sildenafil,Treatment of Erectile dysfunction
caffeine + ergotamine + paracetamol + prochlorperazine, Migraine
diclofenac, Pain relief
live freeze dried lactic acid bacteria and bifidobacteria,Treatment of Ulcerative colitisTreatment of Irritable bowel syndrome
betahistine,Treatment of Meniere's disease
domperidone + rabeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
ondansetron,Treatment of NauseaTreatment of Vomiting
sacubitril + valsartan,Treatment of Heart failure
nicotinamide + folic acid + cyanocobalamin,Treatment of Nutritional deficiencies
tamsulosin,Treatment of Benign prostatic hyperplasia
moxifloxacin,Treatment of Bacterial eye infections
sildenafil,Treatment of Erectile dysfunction
tamsulosin + dutasteride,Treatment of Benign prostatic hyperplasia
cinnarizine,Treatment of Motion sicknessTreatment of VertigoTreatment of Meniere's disease
ondansetron,Treatment of Nausea Vomiting
lidocaine, Local anesthesia (Numb tissues in a specific area)
rabeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
vitamin a,Treatment of Vitamin A deficiency
doxofylline + montelukast,Treatment and prevention of Asthma
diclofenac, Pain relief
valacyclovir, Herpes labialis Genital herpes infection Herpes zoster
betahistine,Treatment of Meniere's disease
diclofenac, Pain relief
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
sildenafil,Treatment of Erectile dysfunction
levocetirizine,Treatment of Allergic conditions
voglibose,Treatment of Type 2 diabetes mellitus
betahistine,Treatment of Meniere's disease
carboxymethylcellulose,Treatment of Dry eyes
diclofenac, Pain relief
cinnarizine + dimenhydrinate,Treatment of Vertigo
sacubitril + valsartan,Treatment of Heart failure
beclometasone + neomycin + miconazole, Skin infections
folic acid + methylcobalamin + niacinamide + vitamin c, Nutritional deficiencies
sodium valproate + valproic acid, Epilepsy
diclofenac, Pain relief
ambroxol + guaifenesin + menthol + terbutaline, Cough
diosmin,Treatment of Varicose veinsTreatment of PilesTreatment of Lymphedema
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
levo-carnitine, Carnitine deficiency
doxylamine + vitamin b + folic acid,Treatment of Nausea and vomiting in pregnancy
sodium valproate, Epilepsy/SeizuresPrevention of Migraine Bipolar disorder
inactivated influenza vaccine,Prevention of Influenza (flu)
liraglutide,Treatment of Type 2 diabetes mellitus
levosulpiride + rabeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome
domperidone,Treatment of IndigestionTreatment of NauseaTreatment of Vomiting
valacyclovir, Herpes labialis Genital herpes infection Herpes zoster
rabeprazole + itopride, Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease
tamsulosin + solifenacin, Benign prostatic hyperplasia
cefadroxil,Treatment of Bacterial infections
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
betahistine,Treatment of Meniere's disease
tamsulosin + finasteride,Treatment of Benign prostatic hyperplasia
sodium valproate + valproic acid, Epilepsy
aceclofenac + paracetamol + serratiopeptidase, Pain relief
venlafaxine, Depression Anxiety disorder
ondansetron,Treatment of NauseaTreatment of Vomiting
cinnarizine + dimenhydrinate,Treatment of Vertigo
doxofylline + ambroxol, Chronic obstructive pulmonary disease (COPD)
betahistine,Treatment of Meniere's disease
ganciclovir, Cytomegalovirus Infection
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
dienogest,Treatment of pelvic pain associated with Endometriosis
diosmin,Treatment of Varicose veinsTreatment of PilesTreatment of Lymphedema
diclofenac + paracetamol, Pain relief
desvenlafaxine, Depression
vildagliptin,Treatment of Type 2 diabetes mellitus
mesalazine, Ulcerative colitis Crohn’s disease
vitamin c, Vitamin C deficiency
voglibose,Treatment of Type 2 diabetes mellitus
betahistine,Treatment of Meniere's disease
carboxymethylcellulose,Treatment of Dry eyes
moxifloxacin + dexamethasone,Treatment of Bacterial eye infections
vancomycin, Clostridium difficile associated diarrhea
betahistine,Treatment of Meniere's disease
live freeze dried lactic acid bacteria and bifidobacteria,Treatment of Ulcerative colitisTreatment of Irritable bowel syndrome
ticagrelor, Prevention of heart attack and stroke
loteprednol etabonate + moxifloxacin,Treatment of Eye infection with inflammation
dapagliflozin,Treatment of Type 2 diabetes mellitus
tamsulosin,Treatment of Benign prostatic hyperplasia
iron sucrose,Treatment of Iron deficiency anemia
dolutegravir + lamivudine + tenofovir disoproxil fumarate, HIV infection
valganciclovir,Treatment of Cytomegalovirus Infection
cinnarizine,Treatment of Motion sicknessTreatment of VertigoTreatment of Meniere's disease
sodium valproate + valproic acid, Epilepsy
ondansetron,Treatment of NauseaTreatment of Vomiting
venlafaxine, Depression Anxiety disorder
cinnarizine,Treatment of Motion sicknessTreatment of VertigoTreatment of Meniere's disease
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
aceclofenac + paracetamol, Pain relief
flupirtine, Pain relief
vardenafil,Treatment of Erectile dysfunction
chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
ondansetron,Treatment of Nausea Vomiting
phenylephrine + chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
domperidone + cinnarizine, Vertigo
voriconazole, Severe fungal infections
venlafaxine, Depression Anxiety disorder
venlafaxine, Depression Anxiety disorder
desvenlafaxine, Depression
ivermectin,Treatment of Parasitic infections
voglibose,Treatment of Type 2 diabetes mellitus
adrenaline, Severe allergic reactions Cardiac arrest
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
valacyclovir, Herpes labialis Genital herpes infection Herpes zoster
sacubitril + valsartan,Treatment of Heart failure
voriconazole, Severe fungal infections
metformin + voglibose,Treatment of Type 2 diabetes mellitus
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
evogliptin,Treatment of Type 2 diabetes mellitus
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
lidocaine, Local anesthesia (Numb tissues in a specific area)
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
imatinib mesylate,Treatment of Cancer
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
metoprolol succinate,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine
levosulpiride + pantoprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)
varicella vaccine attenuated,Prevention of Chickenpox
metoprolol succinate,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine
betahistine,Treatment of Meniere's disease
emtricitabine + tenofovir disoproxil fumarate + efavirenz, HIV infection
valsartan, Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke
levamisole, Worm infections Skin disorders
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
vildagliptin,Treatment of Type 2 diabetes mellitus
ambroxol + levosalbutamol + guaifenesin,Treatment of Cough with mucus
ambroxol + guaifenesin + terbutaline, Cough with mucus
vardenafil,Treatment of Erectile dysfunction
metadoxine, Alcoholic fatty liver disease
vildagliptin,Treatment of Type 2 diabetes mellitus
voglibose + metformin + gliclazide,Treatment of Type 2 diabetes mellitus
famciclovir, Herpes labialis Herpes Simplex Virus Infections Shingles Genital herpes infection
valacyclovir, Herpes labialis Genital herpes infection Herpes zoster
voriconazole,Treatment of Fungal infections of eye Severe fungal infections
amlodipine + metoprolol succinate,Treatment of Hypertension (high blood pressure)
recombinant human erythropoietin alfa,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy
vildagliptin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
acebrophylline + desloratadine + montelukast, Asthma
voriconazole, Severe fungal infections
mirabegron,Treatment of Overactive bladder (OAB) symptoms
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
metformin + voglibose,Treatment of Type 2 diabetes mellitus
recombinant human erythropoietin alfa,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
alfuzosin,Treatment of Benign prostatic hyperplasia
montelukast + fexofenadine,Treatment of Hay feverTreatment of Allergic skin conditionsTreatment of Sneezing and runny nose due to allergies
voglibose,Treatment of Type 2 diabetes mellitus
betahistine,Treatment of Meniere's disease
venlafaxine, Depression Anxiety disorder
mirabegron,Treatment of Overactive bladder (OAB) symptoms
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
betahistine,Treatment of Meniere's disease
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
repaglinide + voglibose,Treatment of Type 2 diabetes mellitus
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
divalproex,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine
valacyclovir, Herpes labialis Genital herpes infection Herpes zoster
montelukast + fexofenadine,Treatment of Sneezing and runny nose due to allergies
metformin + voglibose,Treatment of Type 2 diabetes mellitus
voglibose,Treatment of Type 2 diabetes mellitus
metoclopramide,Treatment of NauseaTreatment of VomitingTreatment of IndigestionTreatment of Heartburn
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
vitamin d,Treatment of Vitamin D deficiencyTreatment of Osteoporosis
"rabies vaccine, human", Prevention of Rabies
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
homotaurine,Treatment of Nutritional deficiencies
